Path,Total Latency (s),Total Noise (W),SNR (dB)
B->F->D->A,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
B->F->D->C->A,0.004507709181455667,9.015418362911336e-07,30.450141149218332
B->F->D->E->C->A,0.005228330155542629,1.0456660311085258e-06,29.806069999869898
B->F->E->C->A,0.004507709181455667,9.015418362911336e-07,30.450141149218332
B->F->E->C->D->A,0.003938776574061377,7.877553148122756e-07,31.036086580544932
B->F->E->D->A,0.004088563355306047,8.177126710612095e-07,30.873992724822998
B->F->E->D->C->A,0.0059925066317720235,1.198501326354405e-06,29.213614810061472
B->A->C,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
B->A->D->C,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
B->A->D->E->C,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
B->A->D->F->E->C,0.004860096172179614,9.72019234435923e-07,30.123251411161796
B->D->A->C,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
B->D->C,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
B->D->E->C,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
B->D->F->E->C,0.003965496089274807,7.930992178549617e-07,31.006724784181998
B->F->D->A->C,0.004507709181455667,9.015418362911336e-07,30.450141149218332
B->F->D->C,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
B->F->D->E->C,0.005228330155542629,1.0456660311085258e-06,29.806069999869898
B->F->E->C,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
B->F->E->D->A->C,0.005891338993038041,1.1782677986076086e-06,29.287559911790314
B->F->E->D->C,0.004088563355306047,8.177126710612095e-07,30.873992724822998
B->A->C->D,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
B->A->C->E->D,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
B->A->C->E->F->D,0.004860096172179614,9.72019234435923e-07,30.123251411161796
B->A->D,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
B->D,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
B->F->D,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
B->F->E->C->A->D,0.004507709181455667,9.015418362911336e-07,30.450141149218332
B->F->E->C->D,0.003938776574061377,7.877553148122756e-07,31.036086580544932
B->F->E->D,0.004088563355306047,8.177126710612095e-07,30.873992724822998
B->A->C->D->E,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
B->A->C->D->F->E,0.005575653505898322,1.1151307011796648e-06,29.526742272575458
B->A->C->E,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
B->A->D->C->E,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
B->A->D->E,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
B->A->D->F->E,0.004860096172179614,9.72019234435923e-07,30.123251411161796
B->D->A->C->E,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
B->D->C->E,0.003965496089274807,7.930992178549617e-07,31.006724784181998
B->D->E,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
B->D->F->E,0.003965496089274807,7.930992178549617e-07,31.006724784181998
B->F->D->A->C->E,0.004507709181455667,9.015418362911336e-07,30.450141149218332
B->F->D->C->E,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
B->F->D->E,0.005228330155542629,1.0456660311085258e-06,29.806069999869898
B->F->E,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
B->A->C->D->E->F,0.005624272648409009,1.124854529681802e-06,29.489036384783397
B->A->C->D->F,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
B->A->C->E->D->F,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
B->A->C->E->F,0.004860096172179614,9.72019234435923e-07,30.123251411161796
B->A->D->C->E->F,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
B->A->D->E->F,0.004860096172179614,9.72019234435923e-07,30.123251411161796
B->A->D->F,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
B->D->A->C->E->F,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
B->D->C->E->F,0.003965496089274807,7.930992178549617e-07,31.006724784181998
B->D->E->F,0.004014115231785494,8.02823046357099e-07,30.953801688675945
B->D->F,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
B->F,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
C->A,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
C->D->A,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
C->D->B->A,0.0037067189141979716,7.413437828395945e-07,31.299803502301586
C->D->E->F->B->A,0.003755338056708658,7.510676113417318e-07,31.243209659106853
C->D->F->B->A,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
C->E->D->A,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
C->E->D->B->A,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
C->E->D->F->B->A,0.004860096172179614,9.72019234435923e-07,30.123251411161796
C->E->F->B->A,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
C->E->F->B->D->A,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
C->E->F->D->A,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
C->E->F->D->B->A,0.005575653505898322,1.1151307011796648e-06,29.526742272575458
C->A->B,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
C->A->D->B,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
C->A->D->E->F->B,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
C->A->D->F->B,0.004507709181455667,9.015418362911336e-07,30.450141149218332
C->D->A->B,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
C->D->B,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
C->D->E->F->B,0.003755338056708658,7.510676113417318e-07,31.243209659106853
C->D->F->B,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
C->E->D->A->B,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
C->E->D->B,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
C->E->D->F->B,0.004860096172179614,9.72019234435923e-07,30.123251411161796
C->E->F->B,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
C->E->F->D->A->B,0.0057332630422411756,1.1466526084482354e-06,29.4056813666335
C->E->F->D->B,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
C->A->B->D,0.004275651521592262,8.551303043184525e-07,30.679677026582116
C->A->B->F->D,0.004324270664102948,8.648541328205898e-07,30.63057134908698
C->A->B->F->E->D,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
C->A->D,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
C->D,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
C->E->D,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
C->E->F->B->A->D,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
C->E->F->B->D,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
C->E->F->D,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
C->A->B->D->E,0.004275651521592262,8.551303043184525e-07,30.679677026582116
C->A->B->D->F->E,0.0061795947980582385,1.235918959611648e-06,29.080100054181944
C->A->B->F->D->E,0.004324270664102948,8.648541328205898e-07,30.63057134908698
C->A->B->F->E,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
C->A->D->B->F->E,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
C->A->D->E,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
C->A->D->F->E,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
C->D->A->B->F->E,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
C->D->B->F->E,0.003755338056708658,7.510676113417318e-07,31.243209659106853
C->D->E,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
C->D->F->E,0.0037067189141979716,7.413437828395945e-07,31.299803502301586
C->E,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
C->A->B->D->E->F,0.0062282139405689255,1.2456427881137853e-06,29.04606482069235
C->A->B->D->F,0.004275651521592262,8.551303043184525e-07,30.679677026582116
C->A->B->F,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
C->A->D->B->F,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
C->A->D->E->F,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
C->A->D->F,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
C->D->A->B->F,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
C->D->B->F,0.003755338056708658,7.510676113417318e-07,31.243209659106853
C->D->E->F,0.003755338056708658,7.510676113417318e-07,31.243209659106853
C->D->F,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
C->E->D->A->B->F,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
C->E->D->B->F,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
C->E->D->F,0.004860096172179614,9.72019234435923e-07,30.123251411161796
C->E->F,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
D->A,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->B->A,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
D->B->F->E->C->A,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
D->C->A,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
D->C->E->F->B->A,0.003938776574061377,7.877553148122756e-07,31.036086580544932
D->E->C->A,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->E->F->B->A,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
D->F->B->A,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
D->F->E->C->A,0.004324270664102948,8.648541328205898e-07,30.63057134908698
D->A->B,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->A->C->E->F->B,0.004996272495679223,9.992544991358447e-07,30.003238876558264
D->B,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
D->C->A->B,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
D->C->E->F->B,0.003938776574061377,7.877553148122756e-07,31.036086580544932
D->E->C->A->B,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
D->E->F->B,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->F->B,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
D->F->E->C->A->B,0.004324270664102948,8.648541328205898e-07,30.63057134908698
D->A->B->F->E->C,0.004996272495679223,9.992544991358447e-07,30.003238876558264
D->A->C,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->B->A->C,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
D->B->F->E->C,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
D->C,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
D->E->C,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->E->F->B->A->C,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
D->F->B->A->C,0.004324270664102948,8.648541328205898e-07,30.63057134908698
D->F->E->C,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
D->A->B->F->E,0.004996272495679223,9.992544991358447e-07,30.003238876558264
D->A->C->E,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->B->A->C->E,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
D->B->F->E,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
D->C->A->B->F->E,0.003938776574061377,7.877553148122756e-07,31.036086580544932
D->C->E,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
D->E,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->F->B->A->C->E,0.004324270664102948,8.648541328205898e-07,30.63057134908698
D->F->E,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
D->A->B->F,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->A->C->E->F,0.004996272495679223,9.992544991358447e-07,30.003238876558264
D->B->A->C->E->F,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
D->B->F,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
D->C->A->B->F,0.003938776574061377,7.877553148122756e-07,31.036086580544932
D->C->E->F,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
D->E->C->A->B->F,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
D->E->F,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->F,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
E->C->A,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
E->C->D->A,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
E->C->D->B->A,0.0035355339059327372,7.071067811865476e-07,31.505149978319906
E->C->D->F->B->A,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
E->D->A,0.001903943276465977,3.807886552931955e-07,34.19315998882512
E->D->B->A,0.003807886552931954,7.61577310586391e-07,31.18286003218531
E->D->C->A,0.003807886552931954,7.61577310586391e-07,31.18286003218531
E->D->F->B->A,0.003965496089274807,7.930992178549617e-07,31.006724784181998
E->F->B->A,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
E->F->B->D->A,0.005044891638189909,1.008978327637982e-06,29.96118162096408
E->F->B->D->C->A,0.006948834914655886,1.3897669829311775e-06,28.5705801018508
E->F->D->A,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
E->F->D->B->A,0.005228330155542629,1.0456660311085258e-06,29.806069999869898
E->F->D->C->A,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
E->C->A->B,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
E->C->A->D->B,0.003570542590698363,7.141085181396728e-07,31.46235786475725
E->C->A->D->F->B,0.005632095403507193,1.126419080701439e-06,29.483000015141428
E->C->D->A->B,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
E->C->D->B,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
E->C->D->F->B,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
E->D->A->B,0.003965496089274807,7.930992178549617e-07,31.006724784181998
E->D->B,0.001903943276465977,3.807886552931955e-07,34.19315998882512
E->D->C->A->B,0.003807886552931954,7.61577310586391e-07,31.18286003218531
E->D->F->B,0.003965496089274807,7.930992178549617e-07,31.006724784181998
E->F->B,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
E->F->D->A->B,0.004860096172179614,9.72019234435923e-07,30.123251411161796
E->F->D->B,0.005228330155542629,1.0456660311085258e-06,29.806069999869898
E->F->D->C->A->B,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
E->C,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
E->D->A->C,0.0037067189141979716,7.413437828395945e-07,31.299803502301586
E->D->B->A->C,0.003807886552931954,7.61577310586391e-07,31.18286003218531
E->D->C,0.001903943276465977,3.807886552931955e-07,34.19315998882512
E->D->F->B->A->C,0.003965496089274807,7.930992178549617e-07,31.006724784181998
E->F->B->A->C,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
E->F->B->A->D->C,0.004996272495679223,9.992544991358447e-07,30.003238876558264
E->F->B->D->A->C,0.006847667275921903,1.369533455184381e-06,28.634273542647094
E->F->B->D->C,0.005044891638189909,1.008978327637982e-06,29.96118162096408
E->F->D->A->C,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
E->F->D->B->A->C,0.005228330155542629,1.0456660311085258e-06,29.806069999869898
E->F->D->C,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
E->C->A->B->D,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
E->C->A->B->F->D,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
E->C->A->D,0.003570542590698363,7.141085181396728e-07,31.46235786475725
E->C->D,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
E->D,0.001903943276465977,3.807886552931955e-07,34.19315998882512
E->F->B->A->C->D,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
E->F->B->A->D,0.004996272495679223,9.992544991358447e-07,30.003238876558264
E->F->B->D,0.005044891638189909,1.008978327637982e-06,29.96118162096408
E->F->D,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
E->C->A->B->D->F,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
E->C->A->B->F,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
E->C->A->D->B->F,0.005523105009675027,1.1046210019350056e-06,29.567867038809695
E->C->A->D->F,0.003570542590698363,7.141085181396728e-07,31.46235786475725
E->C->D->A->B->F,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
E->C->D->B->F,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
E->C->D->F,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
E->D->A->B->F,0.003965496089274807,7.930992178549617e-07,31.006724784181998
E->D->B->F,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
E->D->C->A->B->F,0.003807886552931954,7.61577310586391e-07,31.18286003218531
E->D->F,0.001903943276465977,3.807886552931955e-07,34.19315998882512
E->F,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
F->B->A,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
F->B->D->A,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
F->B->D->C->A,0.004507709181455667,9.015418362911336e-07,30.450141149218332
F->B->D->E->C->A,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
F->D->A,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
F->D->B->A,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
F->D->C->A,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
F->D->E->C->A,0.003755338056708658,7.510676113417318e-07,31.243209659106853
F->E->C->A,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
F->E->C->D->A,0.004996272495679223,9.992544991358447e-07,30.003238876558264
F->E->C->D->B->A,0.0069002157721452,1.3800431544290402e-06,28.60107332847047
F->E->D->A,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
F->E->D->B->A,0.004860096172179614,9.72019234435923e-07,30.123251411161796
F->E->D->C->A,0.004860096172179614,9.72019234435923e-07,30.123251411161796
F->B,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
F->D->A->B,0.004014115231785494,8.02823046357099e-07,30.953801688675945
F->D->B,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
F->D->C->A->B,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
F->D->E->C->A->B,0.003755338056708658,7.510676113417318e-07,31.243209659106853
F->E->C->A->B,0.004860096172179614,9.72019234435923e-07,30.123251411161796
F->E->C->A->D->B,0.004996272495679223,9.992544991358447e-07,30.003238876558264
F->E->C->D->A->B,0.007057825308488053,1.4115650616976108e-06,28.502990996034512
F->E->C->D->B,0.004996272495679223,9.992544991358447e-07,30.003238876558264
F->E->D->A->B,0.004860096172179614,9.72019234435923e-07,30.123251411161796
F->E->D->B,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
F->E->D->C->A->B,0.004860096172179614,9.72019234435923e-07,30.123251411161796
F->B->A->C,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
F->B->A->D->C,0.004197553749138213,8.395107498276428e-07,30.759737384051032
F->B->A->D->E->C,0.006000329386870207,1.2000658773740416e-06,29.20794912790093
F->B->D->A->C,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
F->B->D->C,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
F->B->D->E->C,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
F->D->A->C,0.003755338056708658,7.510676113417318e-07,31.243209659106853
F->D->B->A->C,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
F->D->C,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
F->D->E->C,0.003755338056708658,7.510676113417318e-07,31.243209659106853
F->E->C,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
F->E->D->A->C,0.00546403746433953,1.0928074928679062e-06,29.614563358989727
F->E->D->B->A->C,0.004860096172179614,9.72019234435923e-07,30.123251411161796
F->E->D->C,0.004860096172179614,9.72019234435923e-07,30.123251411161796
F->B->A->C->D,0.003938776574061377,7.877553148122756e-07,31.036086580544932
F->B->A->C->E->D,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
F->B->A->D,0.004197553749138213,8.395107498276428e-07,30.759737384051032
F->B->D,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
F->D,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
F->E->C->A->B->D,0.004860096172179614,9.72019234435923e-07,30.123251411161796
F->E->C->A->D,0.004996272495679223,9.992544991358447e-07,30.003238876558264
F->E->C->D,0.004996272495679223,9.992544991358447e-07,30.003238876558264
F->E->D,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
F->B->A->C->D->E,0.003938776574061377,7.877553148122756e-07,31.036086580544932
F->B->A->C->E,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
F->B->A->D->C->E,0.00610149702560419,1.2202994051208382e-06,29.135336004409474
F->B->A->D->E,0.004197553749138213,8.395107498276428e-07,30.759737384051032
F->B->D->A->C->E,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
F->B->D->C->E,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
F->B->D->E,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
F->D->A->C->E,0.003755338056708658,7.510676113417318e-07,31.243209659106853
F->D->B->A->C->E,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
F->D->C->E,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
F->D->E,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
F->E,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
